===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:26:51]: UserAPI | Logout User: admin with token: G9VBDZRCVKDif8D
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:26:54]: UserAPI | User: ADMIN
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:26:54]: UserAPI | Testing token: mJLBoaCyKJGXkBn
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:29:04]: CatAPI | Gennerated cat User: ADMIN catName: new cat, catId: lW09qiB4JUSwocq
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:30:02]: CatAPI | Requested all cats
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:30:11]: CatAPI | Updated cat, User: admin CatId: undefined
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:30:12]: CatAPI | Requested all cats
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:30:17]: CatAPI | Requested all cats
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:30:20]: CatAPI | Deleted cat by User: admin catId: bjgtC7NfpjQovY9
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:30:20]: CatAPI | Requested all cats
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:30:22]: UserAPI | Logout User: admin with token: mJLBoaCyKJGXkBn
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:30:27]: UserAPI | User login: felix
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:30:27]: UserAPI | Testing token: Nqf8RV60S2Foj8H
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:30:49]: CatAPI | Gennerated cat User: felix catName: felix third cat, catId: FKqBEvcOAPUbuyB
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:31:02]: UserAPI | Logout User: felix with token: Nqf8RV60S2Foj8H
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:31:05]: UserAPI | User login: ADMIN
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:31:06]: UserAPI | Testing token: j89Fn0nHOcE0uvw
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:31:08]: AdminAPI | Get all USERS
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:31:13]: AdminAPI | Get all USERS
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:31:20]: AdminAPI | Reset password for user: admin
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:31:20]: AdminAPI | Get all USERS
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:31:28]: AdminAPI | Reset password for user: daa
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:31:28]: AdminAPI | Get all USERS
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:31:29]: AdminAPI | Change status of user: daa, is user blocked? true
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:31:29]: AdminAPI | Get all USERS
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:31:31]: AdminAPI | Change status of user: felix, is user blocked? true
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:31:31]: AdminAPI | Get all USERS
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:31:33]: AdminAPI | Change status of user: aww, is user blocked? true
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:31:33]: AdminAPI | Get all USERS
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:31:34]: AdminAPI | Change status of user: felix, is user blocked? false
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:31:34]: AdminAPI | Get all USERS
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:31:35]: AdminAPI | Change status of user: daa, is user blocked? false
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:31:35]: AdminAPI | Get all USERS
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:31:58]: UserAPI | New User Created, username: admin new child
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:32:07]: AdminAPI | Get all USERS
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:32:11]: AdminAPI | Deletes user: someone
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:32:11]: AdminAPI | Get all USERS
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:32:14]: AdminAPI | Get all USERS
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:32:17]: AdminAPI | Get all USERS
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:32:20]: AdminAPI | Change status of user: ana, is user blocked? true
===== LogCRUD: =====  IP: 5.12.67.125 [2020-05-24 19:32:20]: AdminAPI | Get all USERS
